id,value
1,93473366.0013878
2,86428665.8652267
4,81389165.65656343
5,82366313.63272245
6,73537311.92990562
10,68369784.24144714
11,60011274.852877915
15,76762681.26415186
17,67318474.06011957
23,65046670.34027053
25,74219208.48011495
28,66786068.256351635
31,70596756.79097326
35,50397941.583748624
39,28673912.035525676
40,25881535.886979435
43,62212407.71106163
48,48595197.42448629
51,40835217.72932696
55,61576492.785147525
56,61565719.06973361
57,48389700.42445924
61,48629810.15245264
62,53114230.660258934
69,37872446.96959743
70,34824652.0253334
71,37822672.4184879
74,42352664.18163203
80,49165496.1907604
82,41700863.0762978
84,39130228.86978427
85,39376369.04708048
88,38527218.84057036
90,32122590.257363938
91,32542223.76119293
95,30552647.312353775
101,31487233.499454286
104,12901135.683972318
111,33139461.97897811
113,32925012.001872998
116,43762592.85781444
120,33956811.51441676
122,36638579.747719295
130,28411317.51267177
136,31948426.46953244
138,28592242.287543327
141,24164783.247181147
144,28284583.705892272
146,24705369.42803653
147,21750175.678550046
150,18249717.700408127
151,30317660.468070455
152,10216375.964051928
158,22456820.497558743
159,27474841.166087784
160,33813717.00069296
162,31588857.363747112
168,31050270.54327733
172,27282534.75894835
177,33662231.57159112
181,28402967.33343179
183,33273919.145276714
184,32343650.18429411
186,28279817.992797058
187,30786325.351193417
192,31354306.970832262
193,29225389.77070027
194,21874600.89275159
200,24761004.89026991
201,10593008.906365575
204,22856500.467691105
206,27282534.75894835
208,23830498.721121766
219,19801516.68745833
221,14068126.270153696
227,29935428.571456116
231,8187011.317958932
233,30056280.644300207
235,28124560.7443276
237,24029545.76972313
238,27053947.498952072
239,26224263.630049184
255,20891245.712354533
258,22305612.76686958
260,21362692.683022715
272,22158334.885474466
273,20177274.912418436
275,24140503.610475805
279,20617116.605575316
281,21166032.076232262
284,21420399.588762574
286,19837733.179974716
292,19292061.73431144
300,12447284.858716587
301,13276968.727619484
303,15235801.9086973
304,18808957.584509205
315,10874178.292567289
318,5023734.533626248
320,16605114.341537736
322,22164304.36715829
323,27176710.722370572
326,26765238.02445201
328,25516269.26624508
337,21731039.03631249
339,22062203.42030113
342,22741075.900922276
343,24631156.556385692
360,16605114.341537736
364,20030558.29618729
365,16955862.87350385
367,18907944.91207654
368,14724126.776404867
369,14069627.72817236
372,17841557.022985548
376,18760253.967237312
379,16957340.602862675
380,22794942.034016725
383,14724126.776404867
385,10556936.521645632
386,13708302.912234703
390,16058315.837163229
391,16058315.837163229
393,16058315.837163229
400,7748401.750952725
403,10207817.330943981
413,21678973.472820736
416,19945959.461122338
423,14827983.705440292
424,17063158.36811361
426,14072724.112695234
427,17884998.91059294
428,14769980.648542175
429,18687678.922775835
431,11838865.336029343
432,16325478.389745139
433,16539605.008516328
439,9710661.806472797
443,16757411.352042552
444,18938411.929401517
446,18938411.929401517
449,18955885.846449204
456,16539605.008516328
457,13772510.350709792
464,14163464.206037669
468,17397420.947394393
472,13952645.284641316
474,18154017.880280837
483,12376894.718972186
488,13073706.734697167
494,13432142.549983123
499,9710661.806472797
505,12378372.448331011
506,14649457.300366297
510,13816188.647224458
511,11136358.484150955
512,5933058.533046982
517,10815774.269088551
521,13151819.00692122
522,8879287.472168049
523,13222756.387617633
526,11427380.279991662
531,10815774.269088551
540,1546802.323945972
547,4347595.358838092
555,17382163.20498913
556,17686734.16576223
563,5242481.605976366
564,18487936.4485863
566,11135053.358151114
573,9808793.428319408
574,17158532.250717103
581,17365191.027290467
588,11826659.46611104
590,15887505.764893766
591,15887505.764893766
595,14176591.446849003
596,14418980.204158572
597,16813261.737560093
599,14434262.189681951
600,11068311.904443618
602,11766601.649527425
603,13644794.69654945
606,14651767.152033096
613,11238925.50247821
615,12752879.41366543
620,15801484.515758952
623,11391879.579584533
624,11068311.904443618
628,10491877.649995888
630,12497035.158545164
635,13948801.004398154
636,12747573.051096449
638,14650289.42267427
662,10951787.535463117
664,12176173.273948552
665,10888176.970512096
670,12816667.211677624
672,11826659.46611104
677,12176275.698237313
680,11296373.289863158
695,9708853.010872079
705,8973228.878031952
713,5939293.621701349
716,5242481.605976366
717,6700829.7023402285
720,12650878.621217223
723,13394415.307389025
725,14701621.938709801
731,8562024.504808987
733,8560546.77545016
734,11802116.81160412
738,14027714.212124635
740,11785023.210134303
743,13122719.108391091
747,12650878.621217223
750,12991685.378467273
752,11569618.968939543
753,9807126.93337834
756,9887350.699139735
758,9532270.965192594
768,14896048.198858213
770,12389461.301809324
772,10553054.17897905
773,11047505.671018275
791,12662934.835803159
793,14246141.39465573
794,10556243.11421288
798,11220002.73681327
799,8835864.758101515
801,14658247.147204475
804,13693173.79674339
805,12017146.368604438
811,9887350.699139735
822,11467710.555915883
824,12387983.572450498
827,11215306.077947984
828,10204924.746062174
832,9865036.735228894
837,11617233.619921772
844,9530793.235833768
851,8771848.384516595
852,9181522.43322648
854,9821474.525489947
856,11340854.809657361
860,9865036.735228894
867,6458987.09847312
877,9181522.43322648
880,6678648.064238695
883,9530793.235833768
885,7797291.95043732
889,11445173.384744525
891,7773382.384647995
894,3397054.2376823756
897,9234407.407000396
898,9149321.498442238
899,4336610.243406697
904,9547188.983974794
906,9426563.211510153
907,7771015.330988912
910,8295256.520979662
915,1682117.867309699
917,9435671.586117389
919,10612603.498983387
925,7628038.012182966
928,7152406.726871675
940,2512845.7487016623
945,9971909.336967748
946,8456896.686650414
951,8183056.433357883
953,12057013.327332104
959,3571642.5822580988
961,7259486.7744263625
963,6384757.534410144
965,5513444.434766587
971,4531154.235733541
973,6575972.472423947
983,4639852.370028503
985,8866570.735360302
997,5734031.6863532225
998,5712252.479370837
999,8456896.686650414
1004,3320243.649563691
1012,5712252.479370837
1014,11215571.92823344
1021,4531154.235733541
1024,8934744.094841188
1028,10381583.385677636
1034,7525222.954340737
1037,6384757.534410144
1038,12416799.881535146
1041,8124130.916614109
1043,7258949.9115634905
1044,12066149.042520843
1048,11354047.179697162
1054,13728455.023636924
1058,8815077.99904711
1059,6735506.066376258
1061,11474899.252541253
1068,2663245.360270035
1070,5925246.624367026
1075,10755304.085118499
1076,3743741.313485066
1078,7797291.95043732
1080,7450164.849577294
1082,13170147.159706207
1084,2368876.1834622514
1085,6575972.472423947
1088,10614081.228342213
1091,11142776.902216429
1094,11095007.332135493
1096,9475310.214223547
1099,9352411.408550255
1101,8865093.006001476
1103,8826211.087649338
1107,9670069.165504543
1108,9136037.205906082
1110,7835921.02887409
1117,8866570.735360302
1119,10733071.521920843
1120,8674068.741078865
1122,7104867.138645495
1130,14017301.585302087
1136,12635050.509949872
1137,7835921.02887409
1139,12416799.881535146
1140,10151341.497036628
1141,11958009.767779032
1144,9205627.788356144
1148,8456896.686650414
1165,8465807.196439816
1168,13611064.641663242
1174,11333937.177830063
1179,8916098.658418765
1187,10787072.543876952
1188,9445147.050613916
1190,2375851.9598920466
1196,7715308.122607375
1197,4102760.22995085
1200,8916098.658418765
1201,9446624.779972741
1203,5359390.44070458
1205,8229858.973966999
1208,7770400.409100347
1212,7657631.246741462
1213,7261778.902026361
1214,10788550.273235777
1217,7165204.964086065
1224,6231220.06726948
1228,9825908.769552171
1229,6322292.396160192
1239,7155430.234636861
1240,7165204.964086065
1247,10129782.981439093
1259,11633697.854110084
1261,8329799.391414328
1265,9324294.977769824
1268,7660643.514595405
1269,1546601.8078589097
1271,12121539.738007043
1274,7761300.498639689
1275,7488529.299653792
1276,9417681.118615413
1277,4116886.2511886293
1278,8312525.539654788
1288,6627072.411984581
1291,7078855.250943905
1296,9278804.204101752
1297,7657631.246741462
1302,11621504.20890355
1304,9925260.360846093
1306,7657631.246741462
1307,3650977.3909915253
1309,2526251.5714604193
1310,7761300.498639689
1314,6322292.396160192
1316,8178985.453673789
1317,11760204.110223252
1323,5742314.466320026
1324,7526343.196672047
1325,7741620.7904560985
1326,2233360.124011462
1331,5132348.790292722
1333,6277342.871438209
1334,7656153.517382635
1335,6877377.147052089
1337,7854850.682198355
1347,10432748.91153695
1348,5550605.378718384
1354,7500721.431100068
1355,4941133.852278919
1358,9466470.247089982
1362,9278804.204101752
1363,5440518.794149442
1375,7943981.334416611
1377,9492130.02984885
1380,10788550.273235777
1382,8021370.184193656
1391,4681536.225748406
1397,6965693.025981884
1400,7156907.963995688
1401,6683002.906228804
1405,11633697.854110084
1408,6300078.880613359
1409,6878854.8764109155
1411,7217960.586096739
1417,5412250.055282795
1420,11135366.890726198
1421,9417681.118615413
1425,6231220.06726948
1428,6383636.1207356015
1431,11001202.648783118
1436,6878854.8764109155
1448,5848296.0416540345
1450,6965693.025981884
1458,6298601.151254532
1459,10526026.943599025
1463,6138166.811035126
1471,10878872.8465802
1473,7496151.480755623
1474,7038107.254244791
1476,9825908.769552171
1482,6878854.8764109155
1487,7156907.963995688
1491,9943912.868808175
1496,5022655.611618817
1497,8518284.65021885
1498,10978799.41413208
1504,9278804.204101752
1507,8451165.955959434
1509,7163727.234727239
1513,5862555.164883292
1518,6300078.880613359
1519,5742314.466320026
1522,7496151.480755623
1532,9417681.118615413
1534,11136844.620085023
1538,8522895.90668423
1542,6685034.722282693
1544,6703786.3034010595
1549,7390025.987852827
1558,7149290.7533325
1562,6395403.692825752
1563,5866367.8306919085
1564,8301685.942791499
1565,3892632.442201415
1568,5257279.98700547
1569,6601768.22534166
1570,5071354.246432915
1573,5601093.45410985
